cote_carnet,Nom_image,Piece,titre_carnet,annees,Intitule,Lieu_Precis,coordonnées géographiques,Support,Dimensions_largeur_hauteur),Precision_vue
93AJ/316/3,FRAN126_0013_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Bonneval,,"48.181388888889,1.3880555555556",Papier,"35,5 x 11 cm",fol. 2v-3r
93AJ/316/3,FRAN126_0014_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Bonneval,,"48.181388888889,1.3880555555556",Papier,"35,5 x 11 cm",fol. 3v-4r
93AJ/316/3,FRAN126_0015_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Bonneval,,"48.181388888889,1.3880555555556",Papier,"35,5 x 11 cm",fol. 4v-5r
93AJ/316/3,FRAN126_0016_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Caen,,"49.182222222222,-0.37055555555556",Papier,"35,5 x 11 cm",fol. 5v-6r
93AJ/316/3,FRAN126_0017_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Caen,,"49.182222222222,-0.37055555555556",Papier,"35,5 x 11 cm",fol. 6v-7r
93AJ/316/3,FRAN126_0023_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Juaye-Mondaye,,"49.206388888889,-0.68777777777778",Papier,"35,5 x 11 cm",fol. 12v-13r
93AJ/316/3,FRAN126_0024_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Port-en-Bessin-Huppain,,"49.344166666667,-0.75527777777778",Papier,"35,5 x 11 cm",fol. 13v-14r
93AJ/316/3,FRAN126_0025_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Orléans,,"47.902222222222,1.9041666666667",Papier,"35,5 x 11 cm",fol. 14v-15r
93AJ/316/3,FRAN126_0030_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Nogent-le-Rotrou,,"48.321666666667,0.82166666666667",Papier,"35,5 x 11 cm",fol. 17v-18r
93AJ/316/3,FRAN126_0031_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Nogent-le-Rotrou,,"48.321666666667,0.82166666666667",Papier,"35,5 x 11 cm",fol. 18v-19r
93AJ/316/3,FRAN126_0034_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Orléans,,"47.902222222222,1.9041666666667",Papier,"35,5 x 11 cm",fol. 20v-21r
93AJ/316/3,FRAN126_0036_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Saint-Jean-de-Braye,,"47.911944444444,1.9711111111111",Papier,"35,5 x 11 cm",fol. 22v-23r
93AJ/316/3,FRAN126_0040_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Fontainebleau,,"48.408888888889,2.7016666666667",Papier,"35,5 x 11 cm",fol. 26v-27r
93AJ/316/3,FRAN126_0042_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Fontainebleau,,"48.408888888889,2.7016666666667",Papier,"35,5 x 11 cm",fol. 28v-29r
93AJ/316/3,FRAN126_0045_L.jpg,Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,Fontainebleau,,"48.408888888889,2.7016666666667",Papier,"35,5 x 11 cm",fol. 31v-32r
93AJ/316/3,FRAN126_0060_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,La Rochepot,,"46.958055555556,4.6788888888889",Papier,"35,5 x 11 cm",fol. 1v-2r
93AJ/316/3,FRAN126_0063_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Vienne,,"45.525555555556,4.8747222222222",Papier,"35,5 x 11 cm",fol. 4v-5r
93AJ/316/3,FRAN126_0064_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Mesnil-sous-Vienne,,"49.385833333333,1.6672222222222",Papier,"35,5 x 11 cm",fol. 5v-6r
93AJ/316/3,FRAN126_0065_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Tain-l'Hermitage,,"45.070555555556,4.8425",Papier,"35,5 x 11 cm",fol. 6v-7r
93AJ/316/3,FRAN126_0066_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Tournon,,"45.643611111111,6.3169444444444",Papier,"35,5 x 11 cm",fol. 7v-8r
93AJ/316/3,FRAN126_0067_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Alboussière,,"44.944166666667,4.7288888888889",Papier,"35,5 x 11 cm",fol. 8v-9r
93AJ/316/3,FRAN126_0068_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Mornas,,"44.2025,4.7280555555556",Papier,"35,5 x 11 cm",fol. 9v-10r
93AJ/316/3,FRAN126_0070_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Villeneuve-lès-Avignon,,"43.966388888889,4.7958333333333",Papier,"35,5 x 11 cm",fol. 11v-12r
93AJ/316/3,FRAN126_0071_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,mont Ventoux,,"44.166666666667,5.2833333333333",Papier,"35,5 x 11 cm",fol. 12v-13r
93AJ/316/3,FRAN126_0072_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Avignon,,"43.948611111111,4.8083333333333",Papier,"35,5 x 11 cm",fol. 13v-14r
93AJ/316/3,FRAN126_0073_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Avignon,,"43.948611111111,4.8083333333333",Papier,"35,5 x 11 cm",fol. 14v-15r
93AJ/316/3,FRAN126_0074_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Villeneuve-lès-Avignon,,"43.966388888889,4.7958333333333",Papier,"35,5 x 11 cm",fol. 15v-16r
93AJ/316/3,FRAN126_0075_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Arles,,"43.676944444444,4.6286111111111",Papier,"35,5 x 11 cm",fol. 16v-17r
93AJ/316/3,FRAN126_0076_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,montagne Sainte-Victoire,,"43.539166666667,5.6452777777778",Papier,"35,5 x 11 cm",fol. 17v-18r
93AJ/316/3,FRAN126_0077_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Aix-en-Provence,,"43.527777777778,5.4455555555556",Papier,"35,5 x 11 cm",fol. 18v-19r
93AJ/316/3,FRAN126_0078_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Fréjus,,"43.433055555556,6.7355555555556",Papier,"35,5 x 11 cm",fol. 19v-20r
93AJ/316/3,FRAN126_0080_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Fréjus,,"43.433055555556,6.7355555555556",Papier,"35,5 x 11 cm",fol. 21v-22r
93AJ/316/3,FRAN126_0081_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Saint-Tropez,,"43.269722222222,6.6386111111111",Papier,"35,5 x 11 cm",fol. 22v-23r
93AJ/316/3,FRAN126_0082_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Saint-Raphaël,,"43.424722222222,6.7677777777778",Papier,"35,5 x 11 cm",fol. 23v-24r
93AJ/316/3,FRAN126_0083_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,cap Roux,,"43.4513,6.9226",Papier,"35,5 x 11 cm",fol. 24v-25r
93AJ/316/3,FRAN126_0084_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Fréjus,,"43.433055555556,6.7355555555556",Papier,"35,5 x 11 cm",fol. 25v-26r
93AJ/316/3,FRAN126_0085_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,col de Tende,,"44.14972222,7.56166667",Papier,"35,5 x 11 cm",fol. 26v-27r
93AJ/316/3,FRAN126_0086_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Fréjus,,"43.433055555556,6.7355555555556",Papier,"35,5 x 11 cm",fol. 27v-28r
93AJ/316/3,FRAN126_0088_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,pont du Gard,,"43.9473,4.5355",Papier,"35,5 x 11 cm",fol. 29v-30r
93AJ/316/3,FRAN126_0089_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Uzès,,"44.0125,4.4197222222222",Papier,"35,5 x 11 cm",fol. 30v-31r
93AJ/316/3,FRAN126_0090_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Authon-du-Perche,,"48.195555555556,0.8925",Papier,"35,5 x 11 cm",fol. 31v-32r
93AJ/316/3,FRAN126_0091_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Vacqueyras,,"44.138333333333,4.9822222222222",Papier,"35,5 x 11 cm",fol. 32v-33r
93AJ/316/3,FRAN126_0092_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Orange,,"44.1375,4.8088888888889",Papier,"35,5 x 11 cm",fol. 33v-34r
93AJ/316/3,FRAN126_0093_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Orange,,"44.1375,4.8088888888889",Papier,"35,5 x 11 cm",fol. 34v-35r
93AJ/316/3,FRAN126_0094_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Valliguières,,"44.007222222222,4.5791666666667",Papier,"35,5 x 11 cm",fol. 35v-36r
93AJ/316/3,FRAN126_0097_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Nîmes,,"43.836944444444,4.36",Papier,"35,5 x 11 cm",fol. 38v-39r
93AJ/316/3,FRAN126_0098_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Saint-Jean-du-Gard,,"44.104722222222,3.8861111111111",Papier,"35,5 x 11 cm",fol. 39v-40r
93AJ/316/3,FRAN126_0099_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,plateau de Gergovie,,"45.72027778,3.11805556",Papier,"35,5 x 11 cm",fol. 40v-41r
93AJ/316/3,,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,plateau de Gergovie,,"45.72078,3.11856",,,
93AJ/316/3,FRAN126_0102_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Chevreuse,,"48.7075,2.0383333333333",Papier,"35,5 x 11 cm",fol. 43v-44r
93AJ/316/3,FRAN126_0105_L.jpg,Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,Dourdan,,"48.528888888889,2.0108333333333",Papier,"35,5 x 11 cm",fol. 45v-46r
93AJ/316/4,FRAN126_0118_L.jpg,Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,Gouvernes,,"48.860555555556,2.6938888888889",Papier,"30,5 x 9,5 cm",fol. 4v-5r
