Piece,Titre du carnet,Année(s) du carnet,Cote du carnet,Latitude,Longitude
Carnet n°3,"Voyages en Normandie, Orléanais et Île-de-France",1843-1844,93AJ/316/3,48.183333,44287
Carnet n°6,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",1843-1844,93AJ/316/3,45.516667,4.866667
Carnet n°7,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",1844,93AJ/316/4,48.866667,44379
Carnet n°9,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",1846,93AJ/316/5,49.116667,2.233333
Carnet n°10,"Voyage en Île-de-France, Picardie et Champagne",1847,93AJ/316/6,49.583333,3
Carnet n°11,Voyage en Champagne et Bourgogne,1848,93AJ/316/7,47.233333,4.95
Carnet n°12,"Voyage dans les provinces d'Anvers, de Liège et de Limbourg, en Rhénanie et Alsace",1849,93AJ/316/8,43.716667,0.983333
Carnet n°14,"Voyage en Picardie, Normandie, Orléanais, Bourgogne et Lyonnais",1850,93AJ/316/9,49.3,2.65
Carnet n°15,"Voyage en Dauphiné, Comtat Venaissin, Provence, Languedoc, Quercy, Limousin, Orléanais et Île-de-France",,93AJ/316/10,45.516667,4.866667
Carnet n°17,"Voyage en Orléanais, Blésois, Touraine, Anjou, Bretagne, Maine et Île-de-France",1851,93AJ/316/11,47.783333,1.633333
Carnet n°18,"Voyage en Île-de-France, Normandie, Dauphiné, Provence, Comtat Venaissin et Languedoc",1852,93AJ/316/12,49.05,44198
Carnet n°20,"Voyage en Angoumois, Guyenne, Pays basque, Béarn, Bigorre, Comminges, Languedoc, Rouergue, Auvergne et Lyonnais",1853,93AJ/316/13,46.016667,0.2
Carnet n°21,"Voyage en Angoumois, Guyenne, Pays basque, Béarn, Bigorre, Comminges, Languedoc, Rouergue, Auvergne, Lyonnais, Dauphiné et Comtat Venaissin",1853,93AJ/316/14,46.016667,0.233333
Carnet n°22,"Voyage en Auvergne, Bourgogne et Berry",1854,93AJ/316/15,46.133333,3.466667
Carnet n°24,Voyage en Italie,1856,93AJ/316/16,44.1,5.116667
Carnet n°27,"Voyage en Italie, Dauphiné, Provence et île-de-France",1856,93AJ/316/18,43.3,44291
Carnet n°28,"Voyages en Normandie, Île-de-France et Bourgogne",1856-1869,93AJ/316/19,49.183333,-0.35
Carnet n°29,Voyage en Bourgogne et en Franche-Comté,1857,93AJ/316/20,47.083333,3.15
Carnet n°30,Voyage à Alaise,1858,93AJ/316/21,47.016667,5.966667
Carnet n°31,"Voyage en Picardie, Alsace et Franche-Comté",1859,93AJ/316/22,46.6,4.783333
Carnet n°33,"Voyages en Franche-Comté, Picardie, Poitou, Orléanais et Île-de-France",1859-1860,93AJ/316/23,47.016667,5.966667
Carnet n°34,Voyage en Picardie et en Normandie,1850,93AJ/316/24,50.066667,1.366667
Carnet n°35,"Voyages en Bourgogne, Savoie, Bresse, Bugey, Franche-Comté, Provence et Comtat Venaissin",1861-1862,93AJ/316/25,45.583333,4.016667
Carnet n°36,"Voyages en Champagne, Picardie, Île-de-France, Alsace, Franche-Comté, Berry, Orléanais, Bourgogne et Île-de-France",1862-1864,93AJ/316/26,48.283333,44201
Carnet n°37,"Voyage en Alsace, Lorraine, Rhénanie, dans les provinces de Limbourg, Liège, Anvers et Brabant, en Hainaut, Flandre, Picardie, Normandie, Maine et Île-de-France",1864,93AJ/316/27,48.583333,7.75
Carnet n°38,"Voyages en Île-de-France, Picardie, Bourgogne, Savoie, Suisse et Franche-Comté",1865-1866,93AJ/316/28,49.233333,44441
Carnet n°39,"Voyage dans la Marche, en Lorraine, Champagne, Alsace et Franche-Comté",1866,93AJ/316/29,46.166667,1.866667
Carnet n°40,"Voyage en Picardie, Flandre, Guyenne, Armagnac, Languedoc, Auvergne, Lyonnais, Bresse, Franche-Comté et Île-de-France",1867,93AJ/316/30,50.716667,1.616667
Carnet n°41,"Voyages en Artois, Flandre, Île-de-France, Alsace, Hainaut, Picardie et Provence et Normandie",1868-1871,93AJ/316/31,48.916667,-0.433333
Carnet n°42,"Voyages en Languedoc, Béarn, Languedoc, Franche-Comté, Bade, Suisse, Roussillon, Quercy et Périgord",1871-1872,93AJ/316/32,43.716667,-1.05
Carnet n°43,Voyage en Île-de-France et Picardie,1873,93AJ/316/33,48.866667,2.333333
Carnet n°44,"Voyages en Auvergne, Languedoc, Comtat Venaissin, Provence, Franche-Comté, Île-de-France et Normandie",1873-1874,93AJ/316/34,45.783333,3.083333
Carnet n°45,Voyage en Provence et Italie,1874,93AJ/316/35,43.3,44291
Carnet n°46,"Voyages en Savoie, Suisse, Franche-Comté, Picardie, Île-de-France, Bresse, Bourgogne, Dauphiné et Languedoc",1875-1879,93AJ/316/36,45.55,6.65
Carnet n°47,Voyage en Italie,1876,93AJ/316/37,48.2,5.133333
Carnet n°48,"Voyage en Franche-Comté, Bresse, Lyonnais, Dauphiné, Orléanais et Île-de-France",1877,93AJ/316/38,47.25,6.033333
Carnet n°49,Voyage en Franche-Comté et Languedoc,,93AJ/316/39,47.25,6.033333
Carnet n°50,"Voyage en Poitou, Anjou, Touraine, Vendômois, Dunois et Île-de-France",1879,93AJ/316/40,46.583333,0.333333
Carnet n°51,"Voyages en Savoie, Bresse, Franche-Comté, Lorraine, Champagne, Bourgogne, Bugey et Suisse",1880-1881,93AJ/316/41,45.45,6.566667
Carnet n°53,Voyage en Alsace,,93AJ/316/43,48.95,7.633333
