Cote,Piece,annees,cote_carnet,titre_carnet,Intitule,coordonnées géographiques,Lieu_Precis,Support,Dimensions_largeur_hauteur),Precision_vue,Observations,Nom_image,Localite_Ademec,Lieu visité
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,"48.181388888889,1.3880555555556",,Papier,"35,5 x 11 cm",fol. 2v-3r,,FRAN126_0013_L.jpg,Bonneval,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,"48.181388888889,1.3880555555556",,Papier,"35,5 x 11 cm",fol. 3v-4r,,FRAN126_0014_L.jpg,Bonneval,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,"48.181388888889,1.3880555555556",,Papier,"35,5 x 11 cm",fol. 4v-5r,,FRAN126_0015_L.jpg,Bonneval,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Caen,"49.182222222222,-0.37055555555556",,Papier,"35,5 x 11 cm",fol. 5v-6r,,FRAN126_0016_L.jpg,Caen,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Caen,"49.182222222222,-0.37055555555556",,Papier,"35,5 x 11 cm",fol. 6v-7r,,FRAN126_0017_L.jpg,Caen,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Juaye-Mondaye,"49.206388888889,-0.68777777777778",,Papier,"35,5 x 11 cm",fol. 12v-13r,,FRAN126_0023_L.jpg,Juaye-Mondaye,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Port-en-Bessin-Huppain,"49.344166666667,-0.75527777777778",,Papier,"35,5 x 11 cm",fol. 13v-14r,,FRAN126_0024_L.jpg,Port-en-Bessin-Huppain,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Orléans,"47.902222222222,1.9041666666667",,Papier,"35,5 x 11 cm",fol. 14v-15r,,FRAN126_0025_L.jpg,Orléans,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Nogent-le-Rotrou,"48.321666666667,0.82166666666667",,Papier,"35,5 x 11 cm",fol. 17v-18r,,FRAN126_0030_L.jpg,Nogent-le-Rotrou,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Nogent-le-Rotrou,"48.321666666667,0.82166666666667",,Papier,"35,5 x 11 cm",fol. 18v-19r,,FRAN126_0031_L.jpg,Nogent-le-Rotrou,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Orléans,"47.902222222222,1.9041666666667",,Papier,"35,5 x 11 cm",fol. 20v-21r,,FRAN126_0034_L.jpg,Orléans,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Saint-Jean-de-Braye,"47.911944444444,1.9711111111111",,Papier,"35,5 x 11 cm",fol. 22v-23r,,FRAN126_0036_L.jpg,Saint-Jean-de-Braye,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Fontainebleau,"48.408888888889,2.7016666666667",,Papier,"35,5 x 11 cm",fol. 26v-27r,,FRAN126_0040_L.jpg,Fontainebleau,
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Fontainebleau,"48.408888888889,2.7016666666667",,Papier,"35,5 x 11 cm",fol. 28v-29r,,FRAN126_0042_L.jpg,Fontainebleau,
