Cote;Piece;Intitule;Support;Dimensions_largeur_hauteur);Precision_vue;Observations;Nom_image;Localite;Code_postal;Code_INSEE;Latitude;Longitude
93AJ/316;Carnet n°2;Premier plat.;Papier;8 x 15 cm;Premier plat;Les feuillets du carnet ne sont pas attachés au dos.;FRAN126_0001_L.jpg;;;;;
93AJ/316;Carnet n°2;;Papier;16,5 x 15 cm;Contre-plat sup.-fol. 1r;;FRAN126_0002_L.jpg;;;;;
93AJ/316;Carnet n°2;[Journal d'un voyage, commencé à Montereau-Fault-Yonne et terminé à Brie-Comte-Robert.];Papier;16,5 x 15 cm;fol. 1v-2r;;FRAN126_0003_L.jpg;;;;;
93AJ/316;Carnet n°2;[Journal d'un voyage, commencé à Montereau-Fault-Yonne et terminé à Brie-Comte-Robert.];Papier;16,5 x 15 cm;fol. 2v-3r;;FRAN126_0004_L.jpg;;;;;
93AJ/316;Carnet n°2;[Journal d'un voyage, commencé à Montereau-Fault-Yonne et terminé à Brie-Comte-Robert.];Papier;16,5 x 15 cm;fol. 3v-4r;;FRAN126_0005_L.jpg;;;;;
93AJ/316;Carnet n°2;[Journal d'un voyage, commencé à Montereau-Fault-Yonne et terminé à Brie-Comte-Robert.];Papier;16,5 x 15 cm;fol. 4v-5r;;FRAN126_0006_L.jpg;;;;;
93AJ/316;Carnet n°2;[Journal d'un voyage, commencé à Montereau-Fault-Yonne et terminé à Brie-Comte-Robert.];Papier;16,5 x 15 cm;fol. 5v-6r;;FRAN126_0007_L.jpg;;;;;
93AJ/316;Carnet n°2;[Journal d'un voyage, commencé à Montereau-Fault-Yonne et terminé à Brie-Comte-Robert.];Papier;16,5 x 15 cm;fol. 6v-contre-plat inf.;;FRAN126_0008_L.jpg;;;;;
93AJ/316;Carnet n°2;Second plat.;Papier;9 x 15 cm;Second plat;;FRAN126_0009_L.jpg;;;;;
93AJ/316;Carnet n°3;Premier plat.;Papier;17,5 x 11 cm;Premier plat;;FRAN126_0010_L.jpg;;;;;
93AJ/316;Carnet n°3;[Noms de personnes « à Caen »];Papier;35,5 x 11 cm;Contre-plat sup.-fol. 1r;;FRAN126_0011_L.jpg;;;;;
93AJ/316;Carnet n°3;[Blanc.];Papier;35,5 x 11 cm;fol. 1v-2r;;FRAN126_0012_L.jpg;;;;;
93AJ/316;Carnet n°3;Bonneval;Papier;35,5 x 11 cm;fol. 2v-3r;;FRAN126_0013_L.jpg;Bonneval;28800;28051;48.183333;44287
93AJ/316;Carnet n°3;Bonneval;Papier;35,5 x 11 cm;fol. 2v-3r;;FRAN126_0013_L.jpg;Bonneval;28800;28051;48.183333;44287
93AJ/316;Carnet n°3;Bonneval;Papier;35,5 x 11 cm;fol. 2v-3r;;FRAN126_0013_L.jpg;Bonneval;28800;28051;48.183333;44287
93AJ/316;Carnet n°3;Bonneval;Papier;35,5 x 11 cm;fol. 3v-4r;;FRAN126_0014_L.jpg;Bonneval;28800;28051;48.183333;44287
93AJ/316;Carnet n°3;Bonneval;Papier;35,5 x 11 cm;fol. 3v-4r;;FRAN126_0014_L.jpg;Bonneval;28800;28051;48.183333;44287
93AJ/316;Carnet n°3;Bonneval;Papier;35,5 x 11 cm;fol. 3v-4r;;FRAN126_0014_L.jpg;Bonneval;28800;28051;48.183333;44287
93AJ/316;Carnet n°3;Bonneval;Papier;35,5 x 11 cm;fol. 4v-5r;;FRAN126_0015_L.jpg;Bonneval;28800;28051;48.183333;44287
93AJ/316;Carnet n°3;Bonneval;Papier;35,5 x 11 cm;fol. 4v-5r;;FRAN126_0015_L.jpg;Bonneval;28800;28051;48.183333;44287
93AJ/316;Carnet n°3;Bonneval;Papier;35,5 x 11 cm;fol. 4v-5r;;FRAN126_0015_L.jpg;Bonneval;28800;28051;48.183333;44287
93AJ/316;Carnet n°3;Caen (?);Papier;35,5 x 11 cm;fol. 5v-6r;;FRAN126_0016_L.jpg;Caen;14000;14118;49.183333;-0.35
93AJ/316;Carnet n°3;Caen;Papier;35,5 x 11 cm;fol. 6v-7r;;FRAN126_0017_L.jpg;Caen;14000;14118;49.183333;-0.35
93AJ/316;Carnet n°3;[Fragment de dessin];Papier;35,5 x 11 cm;fol. 7v-8r;Fol. 8 découpé.;FRAN126_0018_L.jpg;;;;;
93AJ/316;Carnet n°3;[Blanc.];Papier;35,5 x 11 cm;fol. 8v-9r;Fol. 8 découpé.;FRAN126_0019_L.jpg;;;;;
