Cote,Piece,annees,cote_carnet,titre_carnet,Intitule,Support,Dimensions_largeur_hauteur),Precision_vue,Observations,Nom_image,Localite,Code_postal,Code_INSEE,Latitude,Longitude
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,Papier,"35,5 x 11 cm",fol. 2v-3r,,FRAN126_0013_L.jpg,Bonneval,28800,28051,48.183333,1.04
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,Papier,"35,5 x 11 cm",fol. 2v-3r,,FRAN126_0013_L.jpg,Bonneval,28800,28051,48.183333,1.04
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,Papier,"35,5 x 11 cm",fol. 2v-3r,,FRAN126_0013_L.jpg,Bonneval,28800,28051,48.183333,1.04
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,Papier,"35,5 x 11 cm",fol. 3v-4r,,FRAN126_0014_L.jpg,Bonneval,28800,28051,48.183333,1.04
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,Papier,"35,5 x 11 cm",fol. 3v-4r,,FRAN126_0014_L.jpg,Bonneval,28800,28051,48.183333,1.04
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,Papier,"35,5 x 11 cm",fol. 3v-4r,,FRAN126_0014_L.jpg,Bonneval,28800,28051,48.183333,1.04
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,Papier,"35,5 x 11 cm",fol. 4v-5r,,FRAN126_0015_L.jpg,Bonneval,28800,28051,48.183333,1.04
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,Papier,"35,5 x 11 cm",fol. 4v-5r,,FRAN126_0015_L.jpg,Bonneval,28800,28051,48.183333,1.04
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Bonneval,Papier,"35,5 x 11 cm",fol. 4v-5r,,FRAN126_0015_L.jpg,Bonneval,28800,28051,48.183333,1.04
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Caen (?),Papier,"35,5 x 11 cm",fol. 5v-6r,,FRAN126_0016_L.jpg,Caen,14000,14118,49.183333,-0.35
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Caen,Papier,"35,5 x 11 cm",fol. 6v-7r,,FRAN126_0017_L.jpg,Caen,14000,14118,49.183333,-0.35
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Juaye-Mondaye,Papier,"35,5 x 11 cm",fol. 12v-13r,,FRAN126_0023_L.jpg,Juaye-Mondaye,14250,14346,49.2,-0.683333
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Port-en-Bessin-Huppain,Papier,"35,5 x 11 cm",fol. 13v-14r,,FRAN126_0024_L.jpg,Port-en-Bessin-Huppain,14520,14515,49.35,-0.75
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Orléans,Papier,"35,5 x 11 cm",fol. 14v-15r,,FRAN126_0025_L.jpg,Orléans,45100,45234,47.916667,1.09
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Nogent-le-Rotrou,Papier,"35,5 x 11 cm",fol. 17v-18r,,FRAN126_0030_L.jpg,Nogent-le-Rotrou,28400,28280,48.316667,0.833333
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Nogent-le-Rotrou,Papier,"35,5 x 11 cm",fol. 18v-19r,,FRAN126_0031_L.jpg,Nogent-le-Rotrou,28400,28280,48.316667,0.833333
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Orléans,Papier,"35,5 x 11 cm",fol. 20v-21r,,FRAN126_0034_L.jpg,Orléans,45100,45234,47.916667,1.09
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Saint-Jean-de-Braye,Papier,"35,5 x 11 cm",fol. 22v-23r,,FRAN126_0036_L.jpg,Saint-Jean-de-Braye,45800,45284,47.9,1.966667
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Fontainebleau,Papier,"35,5 x 11 cm",fol. 26v-27r,,FRAN126_0040_L.jpg,Fontainebleau,77300,77186,48.4,2.07
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Fontainebleau,Papier,"35,5 x 11 cm",fol. 28v-29r,,FRAN126_0042_L.jpg,Fontainebleau,77300,77186,48.4,2.07
93AJ/316,Carnet n°3,1843-1844,93AJ/316/3,"Voyages en Normandie, Orléanais et Île-de-France",Fontainebleau,Papier,"35,5 x 11 cm",fol. 31v-32r,,FRAN126_0045_L.jpg,Fontainebleau,77300,77186,48.4,2.07
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Vienne,Papier,"35,5 x 11 cm",fol. 4v-5r,,FRAN126_0063_L.jpg,Vienne,38200,38544,45.516667,4.866667
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Tain-l'Hermitage,Papier,"35,5 x 11 cm",fol. 6v-7r,,FRAN126_0065_L.jpg,Tain-l'Hermitage,26600,26347,45.066667,4.85
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Tournon,Papier,"35,5 x 11 cm",fol. 7v-8r,,FRAN126_0066_L.jpg,Tournon,73460,73297,45.633333,Sat Mar 06 00:00:00 CET 2021
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Mornas,Papier,"35,5 x 11 cm",fol. 9v-10r,,FRAN126_0068_L.jpg,Mornas,84550,84083,44.2,4.733333
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Avignon,Papier,"35,5 x 11 cm",fol. 13v-14r,,FRAN126_0072_L.jpg,Avignon,84000,84007,43.95,4.816667
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Avignon,Papier,"35,5 x 11 cm",fol. 14v-15r,,FRAN126_0073_L.jpg,Avignon,84000,84007,43.95,4.816667
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Arles,Papier,"35,5 x 11 cm",fol. 16v-17r,,FRAN126_0075_L.jpg,Arles,13200,13004,43.666667,4.633333
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Aix-en-Provence,Papier,"35,5 x 11 cm",fol. 18v-19r,,FRAN126_0077_L.jpg,Aix-en-Provence,13100,13001,43.533333,5.433333
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Fréjus,Papier,"35,5 x 11 cm",fol. 19v-20r,,FRAN126_0078_L.jpg,Fréjus,83600,83061,43.433888,6.736111
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Fréjus,Papier,"35,5 x 11 cm",fol. 21v-22r,,FRAN126_0080_L.jpg,Fréjus,83600,83061,43.433888,6.736111
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Saint-Tropez,Papier,"35,5 x 11 cm",fol. 22v-23r,,FRAN126_0081_L.jpg,Saint-Tropez,83990,83119,43.266667,6.633333
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Saint-Raphaël,Papier,"35,5 x 11 cm",fol. 23v-24r,,FRAN126_0082_L.jpg,Saint-Raphaël,24160,24493,45.3,1.066667
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Saint-Raphaël,Papier,"35,5 x 11 cm",fol. 23v-24r,,FRAN126_0082_L.jpg,Saint-Raphaël,83700,83118,43.416667,6.766667
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Fréjus,Papier,"35,5 x 11 cm",fol. 25v-26r,,FRAN126_0084_L.jpg,Fréjus,83600,83061,43.433888,6.736111
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Fréjus,Papier,"35,5 x 11 cm",fol. 27v-28r,,FRAN126_0086_L.jpg,Fréjus,83600,83061,43.433888,6.736111
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Uzès,Papier,"35,5 x 11 cm",fol. 30v-31r,,FRAN126_0089_L.jpg,Uzès,30700,30334,44.016667,4.416667
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Vacqueyras,Papier,"35,5 x 11 cm",fol. 32v-33r,,FRAN126_0091_L.jpg,Vacqueyras,84190,84136,44.133333,4.983333
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Orange,Papier,"35,5 x 11 cm",fol. 33v-34r,,FRAN126_0092_L.jpg,Orange,84100,84087,44.133333,4.08
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Orange,Papier,"35,5 x 11 cm",fol. 34v-35r,,FRAN126_0093_L.jpg,Orange,84100,84087,44.133333,4.08
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Valliguières,Papier,"35,5 x 11 cm",fol. 35v-36r,,FRAN126_0094_L.jpg,Valliguières,30210,30340,44,4.583333
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Nîmes,Papier,"35,5 x 11 cm",fol. 38v-39r,,FRAN126_0097_L.jpg,Nîmes,30000,30189,43.833333,4.35
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Saint-Jean-du-Gard,Papier,"35,5 x 11 cm",fol. 39v-40r,,FRAN126_0098_L.jpg,Saint-Jean-du-Gard,30270,30269,44.1,3.883333
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Chevreuse,Papier,"35,5 x 11 cm",fol. 43v-44r,,FRAN126_0102_L.jpg,Chevreuse,78460,78160,48.7,2.05
93AJ/316,Carnet n°6,1843-1844,93AJ/316/3,"Voyages en Dauphiné, Comtat Venaissin, Provence, Languedoc et Île-de-France",Dourdan,Papier,"35,5 x 11 cm",fol. 45v-46r,,FRAN126_0105_L.jpg,Dourdan,91410,91200,48.533333,2.016667
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Gouvernes,Papier,"30,5 x 9,5 cm",fol. 4v-5r,,FRAN126_0118_L.jpg,Gouvernes,77400,77209,48.866667,2.07
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Lagny-sur-Marne,Papier,"30,5 x 9,5 cm",fol. 5v-6r,,FRAN126_0119_L.jpg,Lagny-sur-Marne,77400,77243,48.866667,2.716667
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Enghien-les-Bains,Papier,"30,5 x 9,5 cm",fol. 7v-8r,,FRAN126_0122_L.jpg,Enghien-les-Bains,95880,95210,48.966667,2.316667
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Léry,Papier,"30,5 x 9,5 cm",fol. 10v-11r,,FRAN126_0125_L.jpg,Léry,21440,21345,47.566667,4.833333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Léry,Papier,"30,5 x 9,5 cm",fol. 10v-11r,,FRAN126_0125_L.jpg,Léry,27690,27365,49.283333,1.216667
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 11v-12r,,FRAN126_0126_L.jpg,Bagneux,2290.,2043.,49.466667,3.283333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 11v-12r,,FRAN126_0126_L.jpg,Bagneux,3460.,3015.,46.65,Wed Feb 03 00:00:00 CET 2021
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 11v-12r,,FRAN126_0126_L.jpg,Bagneux,36210,36011,47.183333,1.75
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 11v-12r,,FRAN126_0126_L.jpg,Bagneux,49400,49016,47.25,-0.083333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 11v-12r,,FRAN126_0126_L.jpg,Bagneux,51260,51032,48.566667,3.833333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 11v-12r,,FRAN126_0126_L.jpg,Bagneux,54170,54041,48.55,5.883333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 11v-12r,,FRAN126_0126_L.jpg,Bagneux,79290,79026,47.083333,-0.216667
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 11v-12r,,FRAN126_0126_L.jpg,Bagneux,92220,92007,48.8,Tue Mar 02 00:00:00 CET 2021
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 12v-13r,,FRAN126_0127_L.jpg,Bagneux,2290.,2043.,49.466667,3.283333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 12v-13r,,FRAN126_0127_L.jpg,Bagneux,3460.,3015.,46.65,Wed Feb 03 00:00:00 CET 2021
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 12v-13r,,FRAN126_0127_L.jpg,Bagneux,36210,36011,47.183333,1.75
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 12v-13r,,FRAN126_0127_L.jpg,Bagneux,49400,49016,47.25,-0.083333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 12v-13r,,FRAN126_0127_L.jpg,Bagneux,51260,51032,48.566667,3.833333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 12v-13r,,FRAN126_0127_L.jpg,Bagneux,54170,54041,48.55,5.883333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 12v-13r,,FRAN126_0127_L.jpg,Bagneux,79290,79026,47.083333,-0.216667
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 12v-13r,,FRAN126_0127_L.jpg,Bagneux,92220,92007,48.8,Tue Mar 02 00:00:00 CET 2021
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 13v-14r,,FRAN126_0128_L.jpg,Bagneux,2290.,2043.,49.466667,3.283333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 13v-14r,,FRAN126_0128_L.jpg,Bagneux,3460.,3015.,46.65,Wed Feb 03 00:00:00 CET 2021
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 13v-14r,,FRAN126_0128_L.jpg,Bagneux,36210,36011,47.183333,1.75
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 13v-14r,,FRAN126_0128_L.jpg,Bagneux,49400,49016,47.25,-0.083333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 13v-14r,,FRAN126_0128_L.jpg,Bagneux,51260,51032,48.566667,3.833333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 13v-14r,,FRAN126_0128_L.jpg,Bagneux,54170,54041,48.55,5.883333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 13v-14r,,FRAN126_0128_L.jpg,Bagneux,79290,79026,47.083333,-0.216667
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Bagneux (Hauts-de-Seine),Papier,"30,5 x 9,5 cm",fol. 13v-14r,,FRAN126_0128_L.jpg,Bagneux,92220,92007,48.8,Tue Mar 02 00:00:00 CET 2021
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Cambronne[-lès-Clermont ?],Papier,"30,5 x 9,5 cm",fol. 15v-16r,,FRAN126_0130_L.jpg,Cambronne-lès-Clermont,60290,60120,49.333333,2.04
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Creil,Papier,"30,5 x 9,5 cm",fol. 16v-17r,,FRAN126_0131_L.jpg,Creil,60100,60175,49.266667,2.483333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Élincourt-Sainte-Marguerite,Papier,"30,5 x 9,5 cm",fol. 17v-18r,,FRAN126_0132_L.jpg,Élincourt-Sainte-Marguerite,60157,60206,49.533333,2.816667
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Loctudy,Papier,"30,5 x 9,5 cm",fol. 18v-19r,,FRAN126_0133_L.jpg,Loctudy,29750,29135,47.833333,-4.166667
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Falaise,Papier,"30,5 x 9,5 cm",fol. 50v-51r,,FRAN126_0136_L.jpg,Falaise,8400.,8164.,49.366667,4.733333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Falaise,Papier,"30,5 x 9,5 cm",fol. 50v-51r,,FRAN126_0136_L.jpg,Falaise,14700,14258,48.9,-0.2
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Falaise,Papier,"30,5 x 9,5 cm",fol. 51v-52r,,FRAN126_0137_L.jpg,Falaise,8400.,8164.,49.366667,4.733333
93AJ/316,Carnet n°7,1844,93AJ/316/4,"Voyage en Île-de-France, Picardie, Bretagne et Normandie",Falaise,Papier,"30,5 x 9,5 cm",fol. 51v-52r,,FRAN126_0137_L.jpg,Falaise,14700,14258,48.9,-0.2
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",L'Isle-Adam. — Chambly. — Clermont.,Papier,"34 x 11,5 cm",fol. 3v-4r,,FRAN126_0148_L.jpg,L'Isle-Adam,95290,95313,49.116667,2.233333
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Clermont,Papier,"34 x 11,5 cm",fol. 4v-5r,,FRAN126_0149_L.jpg,Clermont,9420.,9097.,43.033333,1.283333
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Clermont,Papier,"34 x 11,5 cm",fol. 4v-5r,,FRAN126_0149_L.jpg,Clermont,40180,40084,43.65,-0.916667
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Clermont,Papier,"34 x 11,5 cm",fol. 4v-5r,,FRAN126_0149_L.jpg,Clermont,60600,60157,49.383333,2.04
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Clermont,Papier,"34 x 11,5 cm",fol. 4v-5r,,FRAN126_0149_L.jpg,Clermont,74270,74078,45.966667,5.09
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Agnetz,Papier,"34 x 11,5 cm",fol. 5v-6r,,FRAN126_0150_L.jpg,Agnetz,60600,60007,49.383333,2.383333
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Beauvais,Papier,"34 x 11,5 cm",fol. 8v-9r,,FRAN126_0153_L.jpg,Beauvais,60155,60057,49.433333,2.083333
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Beauvais,Papier,"34 x 11,5 cm",fol. 9v-10r,,FRAN126_0154_L.jpg,Beauvais,60155,60057,49.433333,2.083333
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Beauvais,Papier,"34 x 11,5 cm",fol. 10v-11r,,FRAN126_0155_L.jpg,Beauvais,60155,60057,49.433333,2.083333
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Beauvais,Papier,"34 x 11,5 cm",fol. 11v-12r,,FRAN126_0156_L.jpg,Beauvais,60155,60057,49.433333,2.083333
93AJ/316,Carnet n°9,1846,93AJ/316/5,"Voyage en Picardie, Île-de-France, Guyenne, Périgord, Angoumois, Saintonge et Poitou",Senlis,Papier,"34 x 11,5 cm",fol. 15v-16r,,FRAN126_0160_L.jpg,Senlis,60300,60612,49.2,2.583333
